"","NM_MUNICIPIO","NM_VOTAVEL","votos_bolsonaro","votos","percentual"
"83","CONSELHEIRO MAIRINCK","JAIR MESSIAS BOLSONARO",1053,2390,0.440585774058577
"84","CONTENDA","JAIR MESSIAS BOLSONARO",5161,10696,0.482516828721017
"85","CORBÉLIA","JAIR MESSIAS BOLSONARO",6762,11401,0.593105867906324
"86","CORNÉLIO PROCÓPIO","JAIR MESSIAS BOLSONARO",15591,28439,0.548226027638103
"87","CORONEL DOMINGOS SOARES","JAIR MESSIAS BOLSONARO",1356,3997,0.339254440830623
"88","CORONEL VIVIDA","JAIR MESSIAS BOLSONARO",6546,14276,0.458531801625105
"89","CORUMBATAÍ DO SUL","JAIR MESSIAS BOLSONARO",1090,2810,0.387900355871886
"90","CRUZ MACHADO","JAIR MESSIAS BOLSONARO",5320,11248,0.472972972972973
"91","CRUZEIRO DO IGUAÇU","JAIR MESSIAS BOLSONARO",1194,2984,0.400134048257373
"92","CRUZEIRO DO OESTE","JAIR MESSIAS BOLSONARO",7255,13019,0.557262462554728
"93","CRUZEIRO DO SUL","JAIR MESSIAS BOLSONARO",1144,3177,0.360088133459238
"94","CRUZMALTINA","JAIR MESSIAS BOLSONARO",1129,2172,0.519797421731123
"95","CURITIBA","JAIR MESSIAS BOLSONARO",612309,1154309,0.530455016810923
"96","CURIÚVA","JAIR MESSIAS BOLSONARO",3727,8188,0.455178309721544
"97","DIAMANTE D OESTE","JAIR MESSIAS BOLSONARO",1066,3003,0.354978354978355
"98","DIAMANTE DO NORTE","JAIR MESSIAS BOLSONARO",1765,3471,0.508498991645059
"99","DIAMANTE DO SUL","JAIR MESSIAS BOLSONARO",1137,2490,0.456626506024096
"100","DOIS VIZINHOS","JAIR MESSIAS BOLSONARO",12240,26714,0.45818671857453
"101","DOURADINA","JAIR MESSIAS BOLSONARO",3083,5376,0.573474702380952
"102","DOUTOR CAMARGO","JAIR MESSIAS BOLSONARO",2367,4140,0.571739130434783
"103","DOUTOR ULYSSES","JAIR MESSIAS BOLSONARO",1452,3993,0.363636363636364
"104","ENÉAS MARQUES","JAIR MESSIAS BOLSONARO",1701,4462,0.381219184222322
"105","ENGENHEIRO BELTRÃO","JAIR MESSIAS BOLSONARO",4485,8335,0.538092381523695
"106","ENTRE RIOS DO OESTE","JAIR MESSIAS BOLSONARO",2159,3093,0.698027804720336
"107","ESPERANÇA NOVA","JAIR MESSIAS BOLSONARO",981,1611,0.608938547486033
"108","ESPIGÃO ALTO DO IGUAÇU","JAIR MESSIAS BOLSONARO",1795,3319,0.540825549864417
"109","FAROL","JAIR MESSIAS BOLSONARO",1026,2280,0.45
"110","FAXINAL","JAIR MESSIAS BOLSONARO",6007,9701,0.619214513967632
"111","FAZENDA RIO GRANDE","JAIR MESSIAS BOLSONARO",32547,65446,0.497310760015891
"112","FÊNIX","JAIR MESSIAS BOLSONARO",1347,3134,0.429802169751117
"113","FERNANDES PINHEIRO","JAIR MESSIAS BOLSONARO",1912,4502,0.4247001332741
"114","FIGUEIRA","JAIR MESSIAS BOLSONARO",1800,5065,0.35538005923001
"115","FLOR DA SERRA DO SUL","JAIR MESSIAS BOLSONARO",1559,3743,0.416510820197702
"116","FLORAÍ","JAIR MESSIAS BOLSONARO",1959,3746,0.522957821676455
"117","FLORESTA","JAIR MESSIAS BOLSONARO",3202,5710,0.56077057793345
"118","FLORESTÓPOLIS","JAIR MESSIAS BOLSONARO",3318,7826,0.42397137745975
"119","FLÓRIDA","JAIR MESSIAS BOLSONARO",891,1987,0.448414695520886
"120","FORMOSA DO OESTE","JAIR MESSIAS BOLSONARO",2823,4903,0.575769936773404
"121","FOZ DO IGUAÇU","JAIR MESSIAS BOLSONARO",95147,161195,0.590260243804088
"122","FOZ DO JORDÃO","JAIR MESSIAS BOLSONARO",1079,3379,0.319325244155075
"123","FRANCISCO ALVES","JAIR MESSIAS BOLSONARO",2695,4691,0.574504370070347
"124","FRANCISCO BELTRÃO","JAIR MESSIAS BOLSONARO",25704,55385,0.464096777105715
"125","GENERAL CARNEIRO","JAIR MESSIAS BOLSONARO",2676,6682,0.400478898533373
"126","GODOY MOREIRA","JAIR MESSIAS BOLSONARO",719,2149,0.334574220567706
"127","GOIOERÊ","JAIR MESSIAS BOLSONARO",9772,17146,0.569928846378164
"128","GOIOXIM","JAIR MESSIAS BOLSONARO",1267,4270,0.29672131147541
"129","GRANDES RIOS","JAIR MESSIAS BOLSONARO",2209,3847,0.574213672991942
"130","GUAÍRA","JAIR MESSIAS BOLSONARO",11413,18404,0.620136926755053
"131","GUAIRAÇÁ","JAIR MESSIAS BOLSONARO",2089,4135,0.505199516324063
"132","GUAMIRANGA","JAIR MESSIAS BOLSONARO",2967,5559,0.533729087965461
"133","GUAPIRAMA","JAIR MESSIAS BOLSONARO",1440,3049,0.472285995408331
"134","GUAPOREMA","JAIR MESSIAS BOLSONARO",823,1582,0.520227560050569
"135","GUARACI","JAIR MESSIAS BOLSONARO",1928,3472,0.555299539170507
"136","GUARANIAÇU","JAIR MESSIAS BOLSONARO",4971,8827,0.563158490993543
"137","GUARAPUAVA","JAIR MESSIAS BOLSONARO",48657,107463,0.45277909606097
"138","GUARAQUEÇABA","JAIR MESSIAS BOLSONARO",2593,5405,0.479740980573543
"139","GUARATUBA","JAIR MESSIAS BOLSONARO",13350,21954,0.608089641978683
"140","HONÓRIO SERPA","JAIR MESSIAS BOLSONARO",1284,3544,0.362302483069977
"141","IBAITI","JAIR MESSIAS BOLSONARO",8570,16608,0.516016377649326
